,sentence1,sentence2
201,台灣茶人 韓國濟州島 抹茶粉隨身包 15入/袋,Taiwan Teaman Korean Jeju Island Matcha Powder Sachet 15 pcs/pack
202,12.12 Flash Sale 2盒組 SNOW精靈肌光珍珠粉 30包/盒,12.12 Flash Sale 2-Boxes-Set Snow Pearl Powder (30 pcs/box)
203,台灣茶人 韓國濟州島 抹茶粉補充包 40g,Taiwan Teaman Korean Jeju Island Matcha Powder Refill Pack 40g
204,3件組 MissDoll 清新蜜桃 歐單無痕莫代爾超彈力低腰中大尺碼三角內褲 2色 M-3XL,3-Pieces-Set MissDoll Super Stretch Non-Marking Large Size Briefs 2 Colors M-3XL
205,買1送1 Paradiso Garden 梔子花雙效洗卸慕斯 150ml,
206,台灣茶人 韓國濟州島 抹茶粉罐裝 40g,Taiwan Teaman Korean Jeju Island Matcha Powder Cylinder Tube 40g
207,3件組 MissDoll 深情迷漓 歐單花朵柔軟中大尺碼超彈力中腰三角內褲 5色 XL-4XL,3-Pieces-Set MissDoll European flower super elastic soft briefs 5 Colors XL-4XL
208,12.12 Flash Sale Pingo外噴式負離子直髮梳,12.12 Flash Sale CHECK2CHECK Pingo Ionic Straightener Brush
209,FS直播限定！森田藥粧 毛孔潔淨面膜組,Dr.Morita Hyaluronic Acid Moisturizing Essence Mask(8 pcs/box)+Pore Purification & Brightening Essence Facial Mask(8 pcs/box)
210,3件組 MissDoll 春日花園 歐單花紋特大尺碼超彈力中腰三角內褲 5色 XL-4XL,3-Pieces-Set MissDoll European Flower Super Stretch Large Size Briefs 5 Colors XL-4XL
211,3件組 MissDoll 閉眼沉醉 性感豹紋誘惑前簍空三角內褲 3色 F,3-Pieces-Set MissDoll Leopard Print Sexy Front Open Briefs 3 Colors F
212,3件組 MissDoll 挑逗你 經典不敗性感撞色豹紋三角內褲 3色 F,3-Pieces-Set MissDoll Classic Contrast Color Leopard Sexy Briefs 3 Colors F
213,3件組 MissDoll 繽紛泡泡 歐單造型緞帶後透視網紗三角內褲 4色 F,3-Pieces-Set MissDoll European Ribbon Playful Panties 4 Colors F
214,3件組 MissDoll 迷上了 歐單荷葉誘惑後交叉簍空三角內褲 4色 F,3-Pieces-Set MissDoll Playful Sexy Openwork Briefs 4 Colors F
215,3件組 MissDoll 不醉不會 歐單荷葉古典刺繡無痕末代爾三角內褲 4色 F,3-Pieces-Set MissDoll Classical Embroidered Seamless Modal Triangle Panties 4 Colors F
216,Neogence 全能緊緻奇蹟霜 30ml,Neogence Anti-Aging Cream With Bakuchiol 30ml
217,3件組 MissDoll 訴說秘密 歐單無痕花邊竹纖維大尺碼中腰三角內褲 XL-3XL,3-Pieces-Set MissDoll Lace Seamless Bamboo Fiber Large Size Briefs XL-3XL
218,Neogence 神敷奇肌黑凍膜 230ml／370ml,Neogence Deep Cleansing Pack 230ml/370ml
219,3件組 MissDoll 超值福袋F罩杯大罩杯蕾絲機能包覆內衣,3-Pieces-Set MissDoll Value Underwear Bag Random Set F Cup
220,買1送1 森田藥粧花漾美顏超值禮盒組 13入/盒,Buy 1 Free 1 Dr.Morita Hyaluronic Acid Hydrating Facial Mask (13 pcs/box)
221,12.12 Flash Sale Pingo Qmini極輕迷你吹風機 3色可選,12.12 Flash Sale CHECK2CHECK Pingo Qmini Hair Dryer
222,3件組 MissDoll 超值福袋E罩杯大罩杯蕾絲機能包覆內衣,3-Pieces-Set MissDoll Value Underwear Bag Random E Cup
223,買2送1 許氏花旗參精 10入/盒,
224,3件組 MissDoll 超值福袋D罩杯蕾絲機能包覆內衣,3-Pieces-Set MissDoll Value Underwear Bag Random Set D Cup
225,Dr.Lady 瘦身組合 SAVE 15% OFF,Dr.Lady EV-Thin Powerful Upgrades (60 tabs/box)+EV-Heat(30 packets/box) Free EV-Thin Trial Pack×3
226,買1送1 森田藥粧 高純度玻尿酸潤白水凝霜100ml 送隨機面膜1片,Buy 1 Free 1 Dr.Morita Hyaluronic Acid Moisturizing & Whitening Facial Gel Cream (100ml) Free mask 1 pc (Random)
227,3件組 MissDoll 粉紅密室 歐單無痕莫代爾中腰超彈力特大尺碼三角內褲 L-4XL,3-Pieces-Set MissDoll Seamless Mid-Waist Large Size Briefs L-4XL
228,12.12 Flash Sale CHECK2CHECK IVENOR櫻花姬白防曬錠 30粒/盒,12.12 Flash Sale CHECK2CHECK iVENOR SAKURA UV Whitening Tablet(30 tabs/box)
229,3件組 MissDoll 愛慕神話 嚴選歐單無痕莫代爾低腰翹臀特大尺碼三角內褲 L-3XL,3-Pieces-Set MissDoll Super Stretch No Trace Low Waist Large Size Briefs L-3XL
230,3件組 MissDoll 純愛教主 歐單無痕莫代爾中腰大尺碼蕾絲三角內褲 5色 L-XXL,3-Pieces-Set MissDoll Seamless Mid-Waist Large Size Briefs 5 Colors  L-XXL
231,3件組 MissDoll 心動時刻 歐單柔滑涼感冰絲大蝴蝶結三角內褲 F,3-Pieces-Set MissDoll Cool Ice Silk Seamless Briefs F
232,48H Hot Deal CARUN 精華舒緩修護潔膚組 亞熱帶國家專屬配方,48H Hot Deal CARUN Hemp Body Cleansing Soap & Skin Oil Value Set
233,3件組 MissDoll 拉丁舞曲 人氣大蝴蝶結造型三角內褲 F,3-Pieces-Set MissDoll Big Popular Bow Briefs F
234,3件組 MissDoll 桃色陷阱 歐單甜美裙擺鑲鑽柔軟網紗三角內褲 F,3-Pieces-Set MissDoll Skirt Pink Sweet Briefs F
235,1028 放色缐激稳抗震眼缐液 2色,1028 Ultra-Precision Lasting Liner 2 colors
236,3件組 MissDoll 真愛密碼 嚴選無痕親膚末代爾蕾絲三角內褲 F,3-Pieces-Set MissDoll Soft Lace Large Size High Waist Briefs F
237,3件組 MissDoll 春色微恙 嚴選歐單柔軟超彈力高腰大尺碼蕾絲三角內褲 3色 L-XXL,3-Pieces-Set MissDoll Soft Lace Large Size High Waist Briefs 3 Colors L-XXL
238,12.12 Flash Sale 買1送1 Laler日夜爆燃減肥膠囊特惠組 20顆/盒,Laler Daily Control Weight Mushroom/Nightly Super Deflagration Liquid Capsules (20 caps/box)
239,12.12 Flash Sale HH私密抗菌潔淨組,12.12 Flash Sale HH Antibacterial Feminine Wash+Mousse Set
240,12.12 Flash Sale NAF人氣熱銷眉眼彩妝 限時單支下殺,
241,Clearance Offer KAKA 醬燒蝦餅 炙烤原味 80g,Clearance Offer KAKA BBQ Chips Shrimp Classic 80g
242,12.12 Flash Sale ECOGEL殺蟑除蟻一次搞定！餌膠任選2入組,12.12 Flash Sale Discount ECOGEL CUCARACHAS 2-Pieces-Set (optional)
243,Sofei 抹茶櫻花固色護髮膜 240ml,Sofei Cherry Blossom Color Extend Treatment(240ml)
244,限量100組 DV 新年福袋限定 順暢美妍組,Limited 100 Sets DV Digesting & Beauty CNY Gift Packs
245,Clearance Offer 買就送 Paradiso Garden 仙履蘭卸妝精華 200ml 送仙履蘭旅行組,Clearance Offer Buy 1 Free 1 Paradiso Garden Paphiopedilum Makeup Removing Lotion 200ml Free Travel Kits
246,Sofei 型色家植萃添加護髮染髮霜 780霧感就是藍,Sofei Forest Herb Extract Dusty Color Color Cream Just Blue 780
247,Sofei 型色家植萃添加護髮染髮霜 734霧感奶茶棕,Sofei Forest Herb Extract Dusty Color Color Cream Milk Tea Brown 734
248,1028 臉部修修氣墊遮瑕筆 2色,1028 Spot Cushion Concealer 2 colors
249,12.12 Flash Sale CHANMODE禮服捧杯好敢動胸罩 A-E 3色,12.12 Flash Sale CHANMODE Multi-Strap Bralette A-E
250,買蕊送盒 1028 超模V臉粉蕊 2色,Buy 1 Free 1 1028 Supermodel V Compact Powder Free Compact Powder Box 2 colors
251,DV 醇養妍野櫻莓 送迷幻朝霧香水滾珠瓶8ml,
252,UNICAT 女神清潔面膜經典組 送亮白原液30ml+保濕原液30ml,UNICAT Bio Skin Double Effect Mask Set
253,2入組 1028 持光修片餅,2pieces-set 1028 Bouncy Blur Finisher Defective Packaging
254,Hallmark 外帶抗菌組,Hallmark Multi Surface Disinfectant Spray (100ml)
255,雙12限定 Hallmark 怪獸派對2in1泡泡露 800ml 口味隨機,Hallmark Baby No Tear 2 in 1 Hair & Body Wash 800ml (random flavor)
256,12.12 Flash Sale Hallmark 防蚊戰鬥組,
257,12.12 Flash Sale Hallmark 抗菌大師防蚊禮盒組,
258,雙12限定 Hallmark 寶寶媽媽滋潤禮盒,
259,1028 唇迷心竅好色唇膏 4色,1028 Velvet Kiss Rouge Lipstick 4 colors
260,3件組 MissDoll 真愛法妍 法式蕾絲萊卡涼感三角褲 F,3-Pieces-Set MissDoll Lace seamless triangle briefs F
261,3件組 MissDoll 愛情降臨 辣妹日系後簍空性感三角內褲 F,3-Pieces-Set MissDoll Sexy playful lace openwork briefs F
262,3件組 MissDoll 意亂情迷 甜美蕾絲撞色荷葉邊三角內褲 F,3-Pieces-Set MissDoll Sweet ruffled briefs F
263,3件組 MissDoll 神祕面紗 性感歐式風格蕾絲丁字褲 F,3-Pieces-Set MissDoll European style sexy animal print briefs F
264,3件組 MissDoll 伊甸花園 撞色浪漫蕾絲裙擺三角內褲 F,3-Pieces-Set MissDoll French three-dimensional lace skirt briefs F
265,3件組 MissDoll 迷幻旋渦 夢幻撞色荷葉邊蕾絲三角內褲 F,3-Pieces-Set MissDoll Sweet ruffled briefs F
266,DR.CINK 日常精華組,DR.CINK Daily Essence Set
267,3件組 MissDoll 深情款款 精緻層層蕾絲三角內褲 F,3-Pieces-Set MissDoll Sweet layered lace briefs F
268,3件組 MissDoll 氣質佳人 歐單高質感萊卡不造作簍空三角內褲 F,3-Pieces-Set MissDoll Sweet bow hollowed out seamless briefs F
269,DR.CINK 明星持妝組,DR.CINK Highly Rated Makeup Primer Set
270,3件組 MissDoll 閃耀光感 日系超細緻柔軟蕾絲三角褲 F,3-Pieces-Set MissDoll Classic breathable lace briefs F
271,DR.CINK 花蜜黑夜修護組,DR.CINK Xmas Nectar Yeast Revitalizing Repairing Set
272,免運！Double Doctor 網紅推薦 雪絨花金萃精華液30ml 送熱銷面膜3片 可任選,Free shipping！Double Doctor Moisturizing Essence 30ml Free Mask×3(optional)
273,ANYO 健康優鮮鱸魚精原味 60ml×6入/盒,ANYO Sante Premium Silver Essence (6 pcs/boxes)
274,ANYO Sante Beauty 膠原蛋白緊緻潤澤面膜 6片/盒,ANYO Santé Beauty Collagen Mask Lifting & Hydrating Mask (6 pcs/box)
275,Maternea 乳尖修護膏 20ml,Maternea Nuti-Calming Nipple Balm(20ml)
276,Maternea 無痕美體霜 150ml,Maternea Anti-Stretch Mark Body Cream(150ml)
277,Maternea 美胸緊實乳液 125ml,Maternea Breast Firming Cream 125ml
278,Maternea 涼感舒緩美腿膠 125ml,Maternea Cooling&Relaxing Gel for Legs(125ml)
279,1028 飛激長睫毛狂翹組,1028 Extend Curl Eyelash Duo
280,Maternea 美體緊實霜 150ml,Maternea Firming Body Cream 150ml
281,Maternea 彈力潤膚油 100ml,Maternea Elasticity Oil(100ml)
282,Dr.Lady 易輕窈Plus 30包/盒,Dr.Lady EV-Thin(30 packets/box)
283,Dr.Lady 減油代謝2盒組,Dr.Lady Fat Burning EV-Heat Capsules(30 packets/box)
284,買1送1 Vincents World 光采拍拍霜 30ml 送護唇膏1支,Buy 1 Free 1 Vincents World Glimmer Cream Foundation 30ml Free Lip Balm 1 pc
285,C'est vrai 抗痕粉底唇露3件組 送繽紛限量化妝包,C'est vrai Anti-Wrinkle Foundation & Mineral Lip Tint Free Cosmetic Bag
286,C'est vrai 無瑕粉底唇露3件組 送繽紛限量化妝包,C'est vrai Immortelle Flawless Foundation & Mineral Lip Tint Free Cosmetic Bag
287,藏元之露 酵母鑽白女神精華液 30ml,Sake Kasu Yeast Essence(30ml)
288,Dore Dore 高純維他命C VC25淡斑精華油 10ml,Dore Dore Plus Pure Vitamin C 25% Brightening Essence 10ml
289,Hallmark 寶貝防護組,Hallmark Baby Protection Set
290,1028 Hold it! 超吸油蜜粉餅 5g,1028 Hold it! Ultra Oil-control Powder Compact 5g
291,1028 Hold it! 顏不油終超持輕自然色密粉底 30ml,1028 Hold it! Full Cover Natural Beige Matte Foundation 30ml
292,Xmas Limited DR.CINK 夢幻藍白魚子組,Limited Edition DR.CINK Xmas Luxurios Serum Set
293,2盒特惠組 25%OFF Laler 2020全新升級日夜膠囊 20顆/盒,2 Boxes Set 25% OFF Laler Day／Night Liquid Slimming Capsule(20 caps/box)
294,Xmas Limited DR.CINK 極潤黑夜修護組,Limited Edition DR.CINK Restore Replenishing & Repairing Serum Set
295,Xmas Limited DR.CINK 明星底妝組,Limited Edition DR.CINK Highly Rated Makeup Foundation Set
296,5日淘氣快閃 Hallmark 寶寶肌爽身修護組,5 Days Flash Sale Hallmark Calendula & Witch Hazel Baby Lotion & Liquid Powder Set
297,PWP Laler 2020全新升級夜夜爆燃減肥膠囊 20顆/盒,PWP Laler Nightly Super Deflagration Liquid Capsules(20 caps/box)
298,PWP Laler 2020全新升級日日輕控減肥膠囊 20顆/盒,PWP Laler Daily Control Weight Mushroom Capsules (20 caps/box)
299,PWP Laler 輕孅食感滿足飲代餐 紅豆紫米 7袋/盒,PWP Laler Slim Fast Diet Shake-Red Beans Flavor(7 packs/box)
300,PWP Laler 輕孅食感滿足飲代餐 晶亮莓果 7袋/盒,PWP Laler Slim Fast Diet Shake-Berry Flavor(7 packs/box)
301,UNICAT 黄金黑面膜15片組,UNICAT Gold Black Mask×15 pcs
302,UNICAT 原液精華緊緻V臉組,UNICAT Moisturizing Essence(30ml)+Pore Correcting Essence(30ml)+3D Massager(1s)
303,2入加碼贈 UNICAT 爆水霜 水潤保濕凝霜50ml×2 送Ecocert玻尿酸保濕原液30ml,Twin Pack UNICAT Perfect Beauty Extreme Hydrating Water Cream(50ml×2) Free Ecocert Sodium Hyaluronat(30ml)
304,限時單瓶下殺 UNICAT 佛手柑私密呵護潔淨露 200ml,Limited Time Offer UNICAT Bergamot Perfume Feminine Intimate Wash(200ml)
305,2盒加碼贈 UNICAT 完美极润修护代谢面膜(5片/盒)×2 送菸鹼胺激光亮白原液30ml,UNICAT Perfect Reservoir Double Effect Mask(5 pcs/box)×2 Free Double Brightening Serum(30ml)
306,UNICAT 光彩保濕氣墊粉餅組,UNICAT Luminous Hydra CC Cushion Set
307,UNICAT 女神代谢面膜调理组,UNICAT Bio Skin Double Effect Mask(3 pcs/box)×3+Pore Correcting Essence(30ml)
308,買1送1 UNICAT 天然海鹽去角質櫻花磨砂沐浴露 200ml,Buy 1 Get 1 Free UNICAT Nicotinamide Cherry Blossom Body Scrub(200ml)
309,3入特惠組 UNICAT Hi口腔清新噴劑 20ml 口味任選,"Trio Set UNICAT Fresh Breath Spray(20ml, optional)"
310,FS直播限定！DR.CINK 特別加碼 精華CC組,FS Live Limited！DR.CINK Broad Spectrum CC Cream & Serum Combo Set
311,FS直播限定！DR.CINK 法國魚子晶粹組,FS Live Limited！DR.CINK Luxurious Caviar Set
312,FS直播限定！DR.CINK 星辰精選2入精華組,FS Live Limited！DR.CINK Hydrating & Whitening Serum Combo Set
313,FS直播限定！DR.CINK 奇蹟凝霜組,FS Live Limited！DR.CINK Ultra-Reparing Magic Moisturiser Set
314,FS直播限定！DR.CINK 花蜜緊緻卸妝精萃組,FS Live Limited！DR.CINK ECOBIOTYS Anti-Aging Revival Remover Set
315,VIP限定！新品首購 DV 枸杞葉黃素飲 EX PLUS 10包/盒 再送價值RM129醇耀妍NMN超能飲,VIP Limited！DV EX PLUS Chinense Lycium & Lutein Healthy Drink(10 pcs/box) Free NMN Beauty Drink Plus Version(10 packs/box)
316,FS直播限定！Angel LaLa 金好輕暢乳酸菌 30包/盒,FS Live Limited！Angel LaLa Lactic Acid Bacteria Probiotic (30 caps/box)
317,HaWoooStore 森田药妆 石榴光灿面膜 4入/盒,HaWoooStore Dr.Morita Pomegranate Luminous Facial Mask(4pcs/box)
318,HaWoooStore 森田药妆 极奢华黄金特浓保湿晚安冻膜 100g,HaWoooStore Dr.Morita Gold Essence Moisturizing Night Jelly(100g)
319,HaWoooStore 森田药妆 保湿亮白洗面乳 150g,HaWoooStore Dr.Morita Hyaluronic Acid Moisturizing Face Wash(150g)
320,HaWoooStore 森田药妆 芦荟晶透面膜 4入/盒,HaWoooStore Dr.Morita Aloe Vera Radiance Facial Mask(4pcs/box)
321,HaWoooStore 森田药妆 茶树净化面膜 4入/盒,HaWoooStore Dr.Morita Tea Tree Crystal Skin Facial Mask(4pcs/box)
322,HaWoooStore 森田药妆 积雪草舒活面膜 4入/盒,HaWoooStore Dr.Morita Centella Soothing Facial Mask(4pcs/box)
323,HaWoooStore 森田药妆 海藻保湿面膜 4入/盒,HaWoooStore Dr.Morita Algae Moisturizing Facial Mask(4pcs/box)
324,HaWoooStore 森田药妆 积雪草肌活润透面膜 4入/盒,HaWoooStore Dr.Morita CICA Vital Shining Facial Mask(4pcs/box)
325,PWP 限量20組  健康食妍 游離金盞葉黃素體驗瓶 14粒/瓶,PWP Limited 20 Set Nature Food Cover Lutein Capsules Trail Pack(14 tablets/bottle)
326,PWP 限量10組 健康食妍 DHA70體驗瓶 14粒/瓶,PWP Limited 10 Set Nature Food Cover DHA Capsules Trial Pack(14 tablets/bottle)
327,PWP 限量50組 健康食妍 D3離子植物鈣體驗瓶 14粒/瓶×2,PWP Limited 50 Set Nature Food Cover D3 Calcium Lactate Capsules Trial Pack(14 tablets/bottle)×2
328,PWP 限量50組 健康食妍 D3離子植物鈣體驗瓶 14粒/瓶,PWP Limited 50 Set Nature Food Cover D3 Calcium Lactate Capsules Trial Pack(14 tablets/bottle)
329,買5送1 健康食妍 D3離子植物鈣 60粒/瓶 20% OFF,Buy 5 Get 1 Free 20% OFF Nature Food Cover D3 Calcium Lactate Capsules(60 tablets/bottle)
330,VIP Sale 健康食妍 洞悉成長關鍵組 19% OFF,VIP Sale 19% OFF Nature Food Cover DHA Capsules(60 tablets/bottle)×3 Free D3 Calcium Trial Bottle(14 tablets/bottle)×2
331,VIP Sale 健康食妍 D3離子植物鈣8入組 20% OFF,VIP Sale 20% OFF Nature Food Cover D3 Calcium Lactate Capsules(60 tablets/bottle)×8 Free Trial Bottle(14 tablets/bottle)×6
332,Madness Deals 健康食妍 清澈水靈組 10% OFF,"Madness Deals Twin Pack Set 10% OFF Nature Food Cover Lutein Capsules(30s/bottle)×2 Free Trial Bottle(14s/bottle, optional)"
333,Madness Deals 健康食妍 鈣事成雙組 10% OFF,Madness Deals 10% OFF Nature Food Cover D3 Calcium Lactate Capsules(60 tablets/bottle×2 Free 14 tablets/bottle×2)
334,限量6組 健康食妍 益生菌 特價送離子鈣 25% OFF,Limited 6 Set 25% OFF Nature Food Cover Probiotics(30 pcs/box) Free D3 Calcium Trial Pack(14 tablets/bottle)
335,健康食妍 薑黃 特價送離子鈣 25% OFF,25% OFF Nature Food Cover Curcuma Longa Capsules(60 tabs/bottle) Free D3 Calcium Trial Pack(14 tablets/bottle)
336,韓國人氣零食組 價值RM50,Korean Snacks Gift Packs(Worth RM50)
337,"滿鍋香 2入體驗組(2-3人份, 價值RM66)","ManGuoSiang Hot Pot Soup Base×2 Packs(2-3 Pax, Worth RM66)"
338,3袋特惠組 匠拌麵 鵝油金蔥 3包/袋,Trio Pack Kung Fu Noodles Premium Goose Oil With Crisp Shallot Flakes(3 pcs/pack)×3
339,限量30組 PWP Laler 輕孅食感飽足餐 銷魂川辣牛口味 6包/盒,"Limited 30 Set PWP Laler Meal Replacement(6 packs/box, Spicy Beef Flavor)"
340,限量50組 PWP BeeZin 日本麥蘆卡蜂蜜潤喉糖 10顆/包,Limited 50 Set PWP Beezin Manuka Honey Throat lozenges(10 capsules/pack)
341,DR.CINK 法國魚子 限定加碼贈,DR.CINK Luxurious Caviar Set
342,DR.CINK 千日再生緊膚魚子 加碼贈,DR.CINK Revitalizing Oil Serum Set
343,DR.CINK 肌底瞬白透妝限定組,DR.CINK Brightening Skin Care Set
344,DR.CINK 全效安膚入門組,DR.CINK Lotion & Cream Set
345,DR.CINK 淨痘拋光任選組,DR.CINK Skin Care Set
346,DR.CINK 花蜜卸妝精萃團購組,DR.CINK ECOBIOTYS Anti-Aging Revival Remover Set
347,DR.CINK 底妝洗卸全套組,DR.CINK Highly Moisturized Liquid Foundation & Cleanser Set
348,Paradiso Garden 敏弱肌保濕平衡組,Paradiso Garden Sensitive Skin Moisturizing Set
349,DR.CINK 自帶美顏微滴組,DR.CINK Glasting Veil Pearl Powder & Highly Moisturized Liquid Foundation Set
350,Paradiso Garden 仙履蘭保養入門組,Paradiso Garden Paphiopedilum Repairing Exclusive Set
351,DR.CINK 經典精華養膚限定組,DR.CINK Classic Serum Exclusive Set
352,DR.CINK 熱銷雙星肌本限定組,DR.CINK Luxurious Caviar Essence & Classic Serum Set
353,Paradiso Garden 護膚保濕化妝水2入組 可任選,Twin Pack Paradiso Garden Hydrating & Revitalizing Toner Set
354,DR.CINK 夢幻精華 限定加碼贈,DR.CINK Classic Serum Set
355,PWP Zephyrine 蜂蜜蠟菊彈力洗顏慕斯 180ml,PWP Zephyrine Renew Bubble Cleanser(180ml)
356,PWP Zephyrine 玫瑰葉幹細胞卸妝精萃 160ml,PWP Zephyrine Makeup Cleansing Gel(160ml)
357,PWP Zephyrine 新升级沙漠生命树保湿面膜1片,PWP Zephyrine Custom Solution Moisturing Mask(1 pcs)
358,Zephyrine 新升級深海極光藻淨白面膜(1片),Zephyrine Custom Solution Whitening Mask Series(1 pcs)
359,PWP 限量80組 Laler 全新升級90種野菜纖維代謝飲 20包/盒,PWP Limited 80 Set Laler Species Veggie Fiber Drink(20 packs/box)
360,PWP 限量80組 Laler 積雪草膠原水光膠囊 30顆/盒,PWP Limited 80 Set Laler Centella Asiatica Collagen Capsule(30 caps/box)
361,PWP Zephyrine 新版明星旅行組,PWP Zephyrine Trial Travel Kit
362,Hallmark 寶寶全面修護乳 加碼贈,Hallmark Calendula & Witch Hazel Baby Lotion Set
363,Hallmark 抗菌防曬噴霧組 加碼贈,Hallmark Multi Surface Disinfectant Spray & Baby Sunscreen Spray Set
364,Hallmark 童話潔淨抗氯洗沐組,Hallmark World Land Kids & 2-in-1 Sport Shampoo & Body Wash Set
365,Hallmark 泡泡露爽身乳液組,Hallmark Baby No Tear 2-in-1 Hair & Body Wash & Liquid Powder Set
366,Hallmark 冰河舒膚噴霧抗菌濕紙巾組,Hallmark After Sun Intensive Soothing Spray & Disinfecting Refreshing Wipes Set
367,Hallmark 植萃清潔噴霧抗菌濕紙巾組,Hallmark Veggie Fruit Bottle Spray Cleaner & Disinfecting Refreshing Wipes Set
368,March Madness限定 Greenvines 活萃修護潔淨組,March Madness Sales Greenvines Know More Luminosity Serum(30ml)+Know More Clarity Cleanser(100ml)
369,週末限定 DR.CINK 瞬白透亮魚子 加碼贈,Weekend Sales DR.CINK Luxurious Caviar Brightening Performance Essence Set
370,週末限定 DR.CINK 奇蹟前導魚子 加碼贈,Weekend Sales DR.CINK Luxurios Caviar Hydrating Performance Essence Set
371,週末限定 DR.CINK 紅潤減壓魚子 加碼贈,Weekend Sales DR.CINK Luxurious Caviar Whitening Performance Essence Set
372,週末限定 DR.CINK 大金抗醣魚子 加碼贈,Weekend Sales DR.CINK Luxurious Caviar Anti-Wrinkling Performance Essence Set
373,222限時優惠 DR.CINK 保濕護膚組,DR.CINK SOS Hydra-Essential Moisturizing Revitalizing Perfect-Fit Mask(100ml)+Ultra Phytoskn Purifying Mask(3 pcs/box)
374,222限時優惠 DR.CINK 抗痘保濕組,DR.CINK ABP Stage Anti-Acne Renewal Serum(15ml)+B5 Hydra Energy Essence Spray(100ml)
375,222限時優惠 DR.CINK 卸妝護膚組,DR.CINK Moisture Makeup Remover & Bio Cellulose Mask Set
376,DR.CINK 雙霜組,DR.CINK Cream Combo Set
377,FS直播限定！PWP 快車肉乾 台灣芭樂乾 150g,FS Live Limited！PWP Kuaiche Guava Dried Fruit(150g)
378,FS直播限定！PWP 快車肉乾 有嚼勁黑胡椒豬肉紙 90g,FS Live Limited！PWP Kuaiche Black Papper Pork Paper(Chewy)90g
379,DR.CINK 睫毛精華組,DR.CINK Lash Boosting Serum Set
380,FS直播限定！PWP KissGood 蘋果脆片 40g,FS Live Limited！PWP KissGood Apple Chips(40g)
381,FS直播限定！匠拌麵 鵝油金蔥 3包/袋,FS Live Limited！Kung Fu Noodles Premium Goose Oil With Crisp Shallot Flakes(3 pcs/pack)
382,FS直播限定！PWP 韓國Samlip麵包餅乾100g 2口味可選 3包入,FS Live！PWP Samlip Bread Crackers100g/Pkt，3Pkts Set
383,FS直播限定！PWP HBAF 杏仁果 30g 5包入,FS Live！PWP HBAF Almond Snack30g/Pkt，5Pkts Set
384,DR.CINK 星辰精華組,DR.CINK Classic Serum 60ml Set
385,FS直播限定！歐可茶葉 英式真奶茶-經典款 8包/盒,FS Live Limited！OK True Milk-Classic Flavor(8 packs/box)
386,歐可茶葉 真奶茶-台灣珍珠奶茶 5包/盒,OK True Milk-Taiwan Pearl Milk Tea(5 packs/box)
387,愛D菇 全素 綜合菇脆餅 大包裝 90g 口味任選,"idGood Assorted Mushrooms(90g, 5 Flavours)"
388,FS直播限定！2包組 愛上新鮮 綜合水果脆片 70g/包,FS Live Limited！Twin Pack i3Fresh Mixed Dried Fruit Chip(70g/pack)×2
389,FS直播限定！2包組 愛上新鮮 綜合野菜脆片 70g/包,FS Live Limited！Twin Pack i3Fresh Mixed Dried Vegetable Chip(70g/pack)×2
390,FS直播限定！超品起司 金沙鹹蛋黃酥餅 20入/盒,FS Live Limited！Butter Pastry-Salted Duck Egg(20 pcs/box)
391,DR.CINK 微滴面膜组,DR.CINK Foundation Bio-Mask Set
392,FS直播限定！超品起司 雲朵Q餅 14入/包,FS Live Limited！Mashmellow Biscuits(14 pcs/box)
393,DR.CINK 抗皺眼粹組,DR.CINK Intensive Serum Combo Set
394,DR.CINK 午夜拉提組,DR.CINK Night Or Lifting Serum Set
395,FS直播限定！超品起司 起司鳳梨一口酥 12入/盒,FS Live Limited！Cheese Pineapple Cake(12 pcs/box)
396,DR.CINK 去角質凝膠加碼贈,DR.CINK Exfoliating Gel Set
397,Value Buy KissGood 追劇必備零食任選2入組,"Value Buy Twin Pack KissGood Popcorn(100g×2, optional)"
398,【20220720】FS直播限定！PWP KissGood 綜合菇菇脆 60g 2口味可選,"【20220720】FS Live Limited！PWP KissGood Mixed Mushroom Chips(60g, Optional)"
399,DR.CINK 超導膜加碼贈,DR.CINK Perfect-Fit Mask Set
400,FS直播限定！嬌房之喜 花椒茶包 12入/盒,FS Live Limited！Jiao Fang Zhi Xi Hua Jiao Tea(12 packs/box)
401,FS直播限定！任選4盒體驗組 任性eat下 松露野菇粥 / 芋頭香菇粥 3入/盒,"FS Live Limited！Mushroom Porridge(3 packs/box×4, Optional)"
402,DR.CINK 卸妝潔顏組,DR.CINK Remover Or Cleanser Set
403,FS直播限定！2盒組 任性eat下 菇枕難眠 松露野菇粥 3入/盒,FS Live Limited！Twin Pack Truffle Mushroom Porridge(3 packs/box)×2
404,DR.CINK ABP潔面組,DR.CINK ABP or Cleansing Set
405,FS直播限定！2盒組 任性eat下 芋人不淑 芋頭香菇粥 3入/盒,FS Live Limited！Twin Pack Taro Mushroom Porridge(3 packs/box)×2
406,FS直播限定！Angel LaLa Kemin葉黃素複方軟膠囊 30粒/瓶,FS Live Limited！Angel LaLa Kemin Lutein Compound Soft Capsule (30 caps/bottle)
407,DR.CINK 靚女組,DR.CINK Beauty Lady's Set
408,DR.CINK 誘光透白組,DR.CINK Brigtening Combo Set
409,DR.CINK 法國魚子系列,DR.CINK Luxurious Caviar Set
410,DR.CINK 精華露組 買1送2,DR.CINK Toning Lotion Set Buy 1 Get 2
